No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
1;ABH;DCC;;"ABH202403070001- VLAN841
ABH202403070001-VLAN842
ABH202403070001-VLAN844
ABH202403070001-VLAN1721
ABH202403070001-VLAN1722
";BGP Down;#20250000326;TT-2025070354;Closed;02/04/2025 15:16:00;02/04/2025 15:25:00;00:09:00;GMT+7;Luthfi;"Issue was caused by a fault in the upstream IPT 
router on the Singapore side";"Upgraded the router's system software by 
upstream team to systematically resolve the issue 
and it is currently functioning normally. ";" #20250000326 | ABH (DCC) | BGP Down | All IPT | Dari monitoring terlihat semua peer IPT dengan DCC mengalami down periode 02/04/2025 15:16 - 15:25 GMT+7 | Sudah di report ke DCC | Update dari DCC bahwa adanya issue pada router IPT disisi SG dan sudah recovered secara permanent | Sudah disampaikan ke customer | Prepare RFO | RFO Available | Closed
";Email;Email;yes;;;;;;
2;OWS-IPT;ABH - DCC;VLAN4063;AB22025;Destiantion Unreachable;#20250000327;;Closed;02/04/2025 15:16:00;02/04/2025 15:23:00;00:07:00;GMT+7;Luthfi;"Issue was caused by a fault in the upstream IPT 
router on the Singapore side";"Upgraded the router's system software by 
upstream team to systematically resolve the issue 
and it is currently functioning normally. ";" #20250000327 | OWS (ABH-DCC) | Destiantion Unreachable | VLAN4063 | OWS report bahwa ip 157.66.188. 2 tidak bisa di reach dari international | Issue match dengan downnya IPT DCC | Sudah kembali normal dan sudah disampaikan bahwa adanya issue pada router IPT disisi SG dan sudah recovered secara permanent | Prepare RFO | RFO Available | Closed
";WeChat;Email;yes;;;;;;
3;HK-Seaga IPT;ABH - DCC;;202400121;Destiantion Unreachable;#20250000328;;Closed;02/04/2025 15:16:00;02/04/2025 15:23:00;00:07:00;GMT+7;Luthfi;"Issue was caused by a fault in the upstream IPT 
router on the Singapore side";"Upgraded the router's system software by 
upstream team to systematically resolve the issue 
and it is currently functioning normally. "; #20250000328 | HK-Seaga IPT (ABH-DCC) | Destiantion Unreachable | 202400121 | HK-Seaga report bahwa ip 157 .66 189 254 tidak bisa di reach dan sudah kembali normal | Issue match dengan downnya IPT DCC | Sudah kembali normal dan sudah disampaikan bahwa adanya issue pada router IPT disisi SG dan sudah recovered secara permanent | Prepare RFO ;WeChat;Email;yes;;;;;;
4;ISPL;ABH-Lighstroom;"202400082-A
202400082-B";ea;Link Down;#20250000329;;Closed;03/04/2025 9:10;03/04/2025 10:50;01:40:00;GMT+8;Haikal;;;5. #20250000329 | ISPL (ABH-Lighstroom) | Link Down | 202400082-A & 202400082-B | ISPL report mengalami down untuk LL Cyb <> Pdg nya | Dari hasil pengecekan Lighstroom bahwa link sudah di terminasi akibat salah koordinasi (Misscom) | Sudah disampaikan ke ISPL | Pending koordinasi dengan tim internal & Tim LS | CLOSED;Email;Email;No;;;;;;
5;ABH;Powertel;;320100017 | NEU<>CYBER;Link Down;#20250000330;U2H-PP1-N5AD;Closed;03/04/2025 8:26;03/04/2025 20:34;12:07:53;GMT+7;Haikal;Fo Cut km 6,4 dari tomang;Resplicing core;#20250000330 | ABH (Powertel) | Link Down | Neu <> Cyb | Dalam monitoring terlihat link neu <> cyb mengalami down pada 03/04/2025 8:26:49 WIB | Info dari Powertel bahwa adanya issue di segment dan saat ini sedang di progress recovery | FU PWTL | Update dari PWTL sudah selesai melakukan penyambungan dan sudah kembali up peridoe 025-04-03 20:34:42 WIB | FU RFO ke PWTL | CLOSED;Email;Email;yes;;;;;;
6;ABH;Equatra;Neu <> Edge;;Flapping;#20250000331;;Closed;03/04/2025 10:05;03/04/2025 10:05;;GMT+7;Haikal;Link impact Fo cut at Tomang;Resplicing core & swap core;#20250000331 | ABH (Equatra) | Flapping | Neu <> Edge | Dalam monitoring terlihat link Neu <> Edge mengalami flapping pada 03/04/2025 10:05:06 - 10:05:11 WIB | FU RFO ke Equatra | CLOSED;Email;Email;yes;;;;;;
7;Aofei;ABH;;;Req Unadvertised;#20250000332;;Closed;03/04/2025 10:48;03/05/2025 22:00;;GMT+7;Haikal;;;"#20250000332 | Aofei (ABH) | Req Unadvertised | Aofei meminta untuk unadvertised prefix, dalam hasil pengecekannya bahwa dari sisi ABH tidak menerima prefix tersebut | Sudah disampaikan ke Aofei
- 103.216.100.0/24
- 103.216.101.0/24
- 61.29.241.0/24
- 61.29.249.0/24";;;;;;;;;
8;DCC-ABH;ISPL;;;Req LOA;#20250000333;;Open;03/04/2025 10:48;;;GMT+7;Haikal;;;;Email;Email;yes;;;;;;
9;ABH;Equatra;Neu <> Edge;;Link Down;#20250000334;;Closed;03/04.2025 22:30;03/04//2025 01:36;;GMT+7;Syahrul;Fo Cut 600m dari tomang;Resplicing core & swap core;#20250000334 | ABH (Equatra) | Neu<>Edge | Link down pada 22:30 | Link up kembali pada 01:36 | FU Reason dan RFO | CLOSED;Email;Email;yes;;;;;;
10;ABH;SF;;;Req. Allow & Adv. Prefix;#20250000335;;Closed;;;;GMT+7;Haikal;;;#20250000335 | ABH (SF) | 101.1.4.0/24 | FU untuk allow di sisi SF | SF sudah allow ;;;;;;;;;
11;ABH;Linknet;;;Req. Allow & Adv. Prefix;#20250000336;TTID : 10940992;Closed;;;;GMT+7;Haikal;;;#20250000336 | ABH (LN) | 101.1.4.0/24 | FU untuk allow di sisi LN | LN sudah allow ;;;;;;;;;
