No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
1;DCC;ABH;202400154;;Link Down;#20250000102;;Closed;01/02/2025 1:43:00;01/02/2025 17:59;16:16:00;GMT+8;Tian;There are no issues in our segments such as physical ports and backbone;Checking circuit log and monitoring;#20250000102 | DCC (ABH) | DCC report untuk CID: 202400154 namun tidak ada CID tersebut didatabase | Sedang dikonfirmasi kembali apakah CID yang mereka maksud adalah CID: 202400155 | Jika benar kita hanya provided service XC jadi minta untuk DCC konfirmasi ke user end to endnya terlebih dahulu atau mintakan status Power level | Tunggu konfirmasi dari DCC | Sudah disampaikan ke dcc hasil pengecekan dari sisi kita dan powertel bahwa tidak ada perubahan flapp pada port dan juga status l2vpn di sisi powertel | FU konfirmasi dari DCC | DCC minta ticket dihold Sementara | Confirm untuk close ticket | CLOSED;Email;WhatsApp;;Link Down;Open;GMT/UTC;Luthfi;Email;yes
2;ABH;Powertel;;Cyber <> Sigma;Flapping;#20250000103;;Closed;01/02/2025 1:43:00;01/02/2025 17:59;16:16:00;GMT+8;Farhan;There are no issues in provider segments such as physical ports and backbone;Checking circuit log and monitoring;#20250000103 | ABH (Powertel) | Flapping | Cyber <> Sigma | sudah di mintakan ke Powertel untuk cek status port facing customer di sisi Sigma dan cek status l2vpn, karena si sisi kita tidak ada flapping | FU hasil pengecekan Powertel | Hasil pengecekan Powertel normal dan tidak ada perubahan dan hasil pengecekan sudah disampaikan ke DCC | FU konfirmasi dari DCC | DCC confirm untuk close ticket dan sudah di berikan closure | CLLOSED;WhatsApp;WhatsApp;yes;Traffic Drop;Closed;GMT+2;Farhan;WhatsApp;No
3;ABH;HSP;Link Neu <> Cyber;         I-0122-008-01;Link Down;#20250000104;;Closed;01/02/2025 18:15;01/02/2025 18:40;00:25:00;GMT+7;Farhan;Impact kendala troubleshoting backbone;Dilakukan sambung ulang;#20250000104 | ABH (HSP) B26-B9E-ZXP6 | Link Down | I-0122-008-01 - Link Neu <> Cyber | sudah open tiket ke HSP | Link Neu <> Cyber down pada 1 Feb 2025 18:15 WIB dan sudah disampaikan ke HSP untuk di cek | FU hasil pengecekan HSP | informasi dari HSP karena terkena impact tshoot backbone | RFO Available | Confirm for closed | CLOSED;WhatsApp;WhatsApp;yes;Req. Allow & Adv. Prefix;Re-Open;GMT+3;Fatoni;Telegram;
4;DCC;ABH-HSP;Neu<>MDC;L1 NEU-CYB | No Service Order;Link Down;#20250000105;;Closed;01/02/2025 19:17;01/02/2025 19:41;00:24:00;GMT+8;Farhan;Link down is caused by a Brittle Fiber Core.;Replaced core;#20250000105 | DCC (ABH-HSP) | Link Down | Neu<>MDC | DCC report bahwa circuit Neu <> MDC down pada Feb 1, 2025 19:17:13  GMT+8 dan impact karena kerjaan HSP | DCC konfirm link kembali up jam 19:41:01(GMT+8) | root cause dan action sudah disampaikan ke DCC | Sedang disiapkan RFO Official | Sudah disampaikan ke DCC | CLOSED;WhatsApp;WhatsApp;yes;Packet Loss;Cancelled;GMT+4;Syahrul;WeChat;
5;AOFEI;ABH-HSP;Neu <> Cyber;VLAN1981&1983;Link Down;#20250000106;;Closed;01/02/2025 18:15;01/02/2025 18:40;00:25:00;GMT+7;Farhan;Link down due to a brittle core issue in the NEU<>CYBER transmission;Resplicing Core;"#20250000106 | AOFEI (ABH-HSP) | Link Down | Neu <> Cyber | Aofei  report bahwa circuit Neu <> MDC down dan impact karena kerjaan HSP | Root cause dan action sudah disampaikan ke Aofei | CLOSED
Note : No impact to the service because of the backup of VLAN1982 and 1984.";WeChat;WhatsApp;yes;Request Permit Access;Rescheduled;GMT+5;Tian;;
6;DCI;ABH;Public Exchange;;Link Down;#20250000107;;Closed;01/02/2025 18:15;01/02/2025 18:40;00:25:00;GMT+7;Tian;;;;Email;Email;No;;;GMT+6;;;
7;Baoshuo;ABH-Crossnet;;BTTIG_FO vlan535;Intermittent;#20250000108;;Closed;03/02/2025 15:20;03/02/2025 15:22;00:02:00;GMT+8;Haikal;Congestion on upstream telkom crossnet;reroute via LDM;2. #20250000108 | Baoshuo (Crossnet) | Intermittent | BTTIG_FO vlan535 | Baoshuo report intermittent | FU RFO dan konfirmasi ke Crossnet kenapa bisa intermitten ada issue dimana | RFO available | Konfirm Internal | RFO sudah dikirimkan | closed;WhatsApp;WhatsApp;yes;Maintenance;;GMT+6+30;Haikal;;
9;LAXO;ABH-TELKOM;"202400002/IdEX-CAC
202400079/IdEX-CAC";;Maintenance;#20250000110;;Closed;;;;GMT+7;Tian;;;8. #20250000109 | LAXO (ABH) | 202400002/IdEX-CAC & 202400079 | IdEX-CAC | Reconfiguration Link BTC-JTN, maintenance pada 7 Februari 2025 (00.00 s/d 04.00) | Sudah diannounced ke Cust | Konfirm DWS;;;;Flap & Down;;GMT+7;Dani;;
8;LAXO;ABH-TELKOM;"202400002/IdEX-CAC
202400079/IdEX-CAC";;Maintenance;#20250000109;;Closed;;;;GMT+7;Tian;;;9. #20250000110 | LAXO (ABH) | 202400002/IdEX-CAC & 202400079 | IdEX-CAC | Reconfiguration Link BTC-JTN, maintenance pada 7 Februari 2025 (00.00 s/d 04.00) | Sudah diannounced ke Cust | Konfirm DWS;;;;Flapping;;GMT+8;Damar;;
10;Baoshuo;ABH-Crossnet;;BTTIG_FO vlan535;Link Down;#20250000111;;Closed;04/02/2025 8:10;04/02/2025 14:00;05:50:00;GMT+7;Luthfi;fo cut damage by a truck;resplicing core ;3. #20250000111 | Baoshuo (Crossnet) | Link Down | BTTIG_FO vlan535 | Baoshuo report bahwa saat ping menuju Gateway tidak reach dan status network disconnected | Sudah di open ticket ke CN | Update dari CN bahwa ada FO cut di 10KM dari TS Matano dan team sedang menuju ke lokasi untuk tshoot | FU progress dari CN | Update dari CN bahwa FO cut impact dari tersangkut mobil tronton dan saat ini sedang dalam proses perbaikan | Sudah disampaikan ke Baoshuo | Link sudah kembali up periode 14:00 WIB | Sudah di infokan ke Baoshuo | Saat ini dalam proses perapihan | FU RFO ke CN | RFO Available | Konfirm Internal | RFO sudah dikirimkan | closed;WhatsApp;WhatsApp;yes;Maintenance;;GMT+9;Yuniar Cantik;;
