No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
1;Rapid;ABH;"VLAN609 - CAC
LL Neu-Cyber";;Terminated;"#20250006655
#20250000001";;Closed;01/01/2025;01/01/2025;;GMT+7;Tian;Terminated;Terminated;Terminated;Email;Email;No;Link Down;Open;GMT+3;Luthfi;Email;yes
2;ABH;HSP;;I-0122-009-01;Flapping;#20250000002;;Closed;02/01/2025 18:29;02/01/2025 18:34;00:05:00;GMT+7;Tian;No issue find in HSP segment;No action has been taken; #20250000002 | ABH (HSP) | Multiple Flapping | NEU<>IDC3D | Dari monitoring terlihat BB NEU<>IDC mengalami multiple flapping periode 02/01/2024 18:30 - 18:34 WIB | Sudah di open ticket ke HSP | HSP menginformasikan sedang tidak ada kegiatan dari sisi mereka | Konfirmasi ke internal | CLOSED;Email;Email;No;Traffic Drop;Closed;GMT+7;Farhan;WhatsApp;No
3;AOFEI;ABH;;;Packet Loss;#20250000003;;Closed;02/01/2025 21:27;03/01/2025 0:03;02:35:07;GMT+8;Tian; There is an asymetric route where the down and up do not pass through the same path and there is no packet loss at the ABH hop;Checking circuit and request optimize path;#20250000003 | AOFEI (ABH) | Domestic Routes | Packet loss | AOFEI report paket loss dari Source 43.15.166.129 (Tencent) ke Destination 103.160.155.32 (Aofei) | Dari mtr yang di berikan hasil pengecekanya terlihat ada Asymetric route yang mana turunnya via IIX [HOP 6] dan naiknya via JKTIX [HOP 7] juga tidak detect loss di segment ABH dan setelah di compare dari Network ABH bahwa test normal sampai destinasi | Sudah disampaikan ke Aofei dan di tawarkan untuk adjust route via IIX | FU Konfirmasi dari Aofei (Preconfig Available) | Udpate dari Aofei sudah normal dan mengizinkan untuk close ticket | CLOSED;Email;Email;No;Req. Allow & Adv. Prefix;Re-Open;GMT+2;Fatoni;Telegram;
4;LAXO;ABH-TELKOM;;;Req. Allow & Adv. Prefix;#20250000004;;Closed;03/01/2025 11:37;;;GMT+7;Syahrul;Completed;Completed;#20250000004 | LAXO (ABH-TELKOM) | Laxo request allow Prefix 49.0.26.0/23 le 24 ASPath Route : 138077 - 149359 | Pengecekan validasi | Done request FU ke Mba Aul | Sudah allow | CLOSED;Email;Email;No;Packet Loss;Cancelled;;Syahrul;WeChat;
5;WANGSU;NeuCentrIX;;;Request Permit Access;#20250000005;;Closed;03/01/2025 13:06;;;GMT+7;Syahrul;;;;Email;Email;No;Request Permit Access;Rescheduled;;Tian;;
6;DCC;ABH-HSP;L1 DWDM NEU <> CYB;L1 NEU-CYB | No Service Order;Flapping;#20250000006;;Closed;3/1/2025 16:24;3/1/2025 16:50;00:26:00;GMT+7;Tian;"FO cut at coordinates 6°12'09.3""S 106°48'57.9""E (QRW8+XCG, Karet  
Tengsin, Central Jakarta City, Jakarta) is due to bad cores.";Resplicing FO ;"#20250000006 | DCC (ABH) | Flapping | DCC report link neu <> cyb L1 flap periode 16:21:19 sd 16:50:54 | Dari pengecekan ini impact link HSP flap | Confim dari HSP link flap karna sedang ada activity di jc | Link neu<> cyb I-0122-008-01 dan neu <> idc I-0122-009-01 impact dan flap | Sudah open ticket ke HSP | PUSH HSP dan minta 2 ticket | RFO related dengan issue HSP | RFO Available | CLOSED
Ticket issue NEU<>CYB = #20250000007 (ABH) | YPT-883-6B3T (HSP)
Ticket issue NEU<>IDC3D = #20250000008 (ABH) | YPT-883-6B3T (HSP)
";Email;Email;yes;;;;;;
7;ABH;HSP;BB NEU<>CYBER; I-0122-008-01;Flapping;#20250000007;YPT-883-6B3T;Closed;3/1/2025 16:24:14;3/1/2025 16:24:25;00:00:11;GMT+7;Luthfi;"FO cut at coordinates 6°12'09.3""S 106°48'57.9""E (QRW8+XCG, Karet  
Tengsin, Central Jakarta City, Jakarta) is due to bad cores.";Resplicing FO ;CLOSED;Email;Email;yes;Maintenance;;GMT/UTC;;;
8;ABH;HSP;BB NEU<>IDC;I-0122-009-01;Flapping;#20250000008;YPT-883-6B3T;Closed;3/1/2025 16:24:14;3/1/2025 16:24:25;00:00:11;GMT+7;Luthfi;"FO cut at coordinates 6°12'09.3""S 106°48'57.9""E (QRW8+XCG, Karet  
Tengsin, Central Jakarta City, Jakarta) is due to bad cores.";Resplicing FO ;CLOSED;Email;Email;yes;Flapping;;GMT+4;Damar;;
9;CTID-SANY;ABH-TIS;202400066;;Power Degrade;#20250000009;;Closed;4/1/2025 10:12;4/1/2025 10:12;00:00:00;GMT+7;Syahrul;No issues reporting by customer side;Monitoring link;#20250000009 | CTID-Sany (ABH-TIS) | Pro Active Low Traffic | TIS menginformasikan bahwa perangkat end user terpantau mati, namun di PRTG Running | FU Konfirmasi dari CTID via email | Sudah di tanyakan di grup | FU di hari Senin | Dari monitoring traffic sudah kembali running terisi | CLOSED;WhatsApp;WhatsApp;No;Flap & Down;;GMT+5;Dani;;
10;IOH Bali;Telkom DWS;AB23029;;Link Down;#20250000010;INC22411697;Closed;04-01-2025 8:30;04-01-2025 11:29;02:59:00;GMT+7;Syahrul;Root Cause: There is no issue with the Metro-E circuit. The interface towards the customer was down due to a Dying Gasp detected on the OLT side.;Recovery by itself.;3. #20250000010 | IOH Bali (Telkom DWS) | Link Down | Termonitor pada jam 08:30 traffic drop | report ke telkom dws | fu pengecekan dws | pararel proaktif ke ioh | Info dari telkom dws bahwa port arah IOH down | Link up 11:30 | FU RFO ke Telkom DWS | RFO Available | Konfirm Internal | RFO sudah dikirim | Closed;Email;WhatsApp;yes;Link Error;;GMT+8;Haikal;;
11;AOFEI;ABH;202400051;;Destiantion Unreachable;#20250000011;;Closed;05/01/2025 8:31;05/01/2025 8:31;00:00:00;GMT+7;Syahrul;route was reset at 09:53:25 relate with time you reported, we suspect any on the destination side made a route change at that time, because we saw from the local looking glass that there was also a reset in the route table to the destination.;Back to normal by itself;#20250000011 | Aofei (ABH) | IPT | Packet Loss | Aofei report packet loss dari source 43.159.72.37 ke dst  103.184.54.2 | Fu pengecekan OWS | Pengecekan ows no issue | konfirmasi aofei | Berdasarkan traceroute terbaru yang di berikan oleh OWS bahwa path dari SG >> JKT OIXP >> Fiber Star >> PT Proxi Jaringan Nusantara (Reset) pada route table Idex dan NICE3D | Suspect bahwa ada issue pada Destinasi | Sudah disampaikan ke Aofei | FU Confirm dari Aofei | Sampaikan closure | CLOSED;Email;WeChat;yes;Malfunction on the link;;GMT+9;;;
12;CTG-Ali-IIX;ABH;All Services;;Network Freeze;#20250000012;;Closed;27/1/2025 0:00;14/2/2025 23:59;23:59:00;GMT+8;Luthfi;"Please kindly noted the network traffic is likely to increase during Chinese New Year, we would like to request supporting from you as below:

Network Freeze Period

Starting date and time: 27th January 2025, 00:00 (UTC+8) 

Ending date and time: 14th February 2025, 23:59 (UTC+8) ";"Please kindly noted the network traffic is likely to increase during Chinese New Year, we would like to request supporting from you as below:

Network Freeze Period

Starting date and time: 27th January 2025, 00:00 (UTC+8) 

Ending date and time: 14th February 2025, 23:59 (UTC+8) ";"Please kindly noted the network traffic is likely to increase during Chinese New Year, we would like to request supporting from you as below:

- To AVOID any non-essential changes or maintenance on all CTG circuits during the Network Freeze period.

- Provide Green Path for service recovery in case of any service outage/degrade(if possible).

- Reserve network resources for service reroute (if possible).";Email;Email;No;High Latency;;;Sufyar;;
13;CTG-ALI (ABH);Cloudata;202300001;"Cable ID/XC: 363/NET X/2020
Cable ID/XC: 364/NET X/2020";Network Freeze;#20250000013;;Closed;27/1/2025 0:00;14/2/2025 23:59;23:59:00;GMT+7;Luthfi;"Please kindly noted the network traffic is likely to increase during Chinese New Year, we would like to request supporting from you as below:

Network Freeze Period

Starting date and time: 27th January 2025, 00:00 (UTC+8) 

Ending date and time: 14th February 2025, 23:59 (UTC+8) ";"Please kindly noted the network traffic is likely to increase during Chinese New Year, we would like to request supporting from you as below:

Network Freeze Period

Starting date and time: 27th January 2025, 00:00 (UTC+8) 

Ending date and time: 14th February 2025, 23:59 (UTC+8) ";"Please kindly noted the network traffic is likely to increase during Chinese New Year, we would like to request supporting from you as below:

- To AVOID any non-essential changes or maintenance on all CTG circuits during the Network Freeze period.

- Provide Green Path for service recovery in case of any service outage/degrade(if possible).

- Reserve network resources for service reroute (if possible).";Email;Email;No;Packet Loss & Latency Increase;;;Adit;;
14;Bashuo;Crossnet;;BTTIG_FO vlan535;Link Down;#20250000014;;Closed;06/01/2025 20:20;06/01/2025 20:40;00:20:00;GMT+7;Luthfi;"Link Upstream Down dikarenakan issue stuck config advertise di
Makassar";Dilakukan reroute via link backup;#20250000014 | Baoshuo (Crossnet) | Link Down | BTTIG_FO vlan535 | Baoshuo report linknya mengalami disconected dan meminta di check | Setelah di compare disisi ABH pun tidak bisa access cacti dan Winboxnya | Sudah di open ticket ke Crossnet | Update dari Crossnet adanya issue pada link upstream down dan di rerouted ke link backup | Sudah di sampaikan ke Baoshuo | FU RCA ke Crossnet | CLOSED;Email;Email;yes;;;;Bayu;;
15;DCC-ByteDance;ABH;202300011;;Link Down;#20250000015;;Closed;06/01/2025 12:21;06/01/2025 12:21;00:00:00;GMT+7;Syahrul;Traffic terpantau drop;Info internal ByteDance akan terminate;"1. #20250000015 | DCC-ByteDance (ABH) | Traffic Drop | Tidak Receive Prefix ByteDance | Report internal traffic DCC-ByteDance lost | Hasil pengecekan kita tidak receive prefix dari ByteDance | FU konfirmasi dari Bytedance | Update dari Bytedance bahwa ada maintenance disisi customer | info internal bytedance mau terminate
";WhatsApp;WhatsApp;No;Bit Error;;;Yuniar Cantik;;
16;ABH;Zenlayer;Peer 10.100.116.5/30;;BGP Down;#20250000016;;Closed;07/01/2025 17:05;07/01/2025 18:48;01:43:00;GMT+7;Haikal;BGP down due to replaced the faulty equipment on Zenlayer side;BGP back to establ since the equipment back to optimized;CLOSED;Email;Email;yes;;;;;;
17;ABH;HSP;BB NEU<>CYBER;I-0122-008-01;Maintenance;#20250000017;8NE-AS1-R1AY;Closed;09/01/2025 0:01:00;09/01/2025;###############################################################################################################################################################################################################################################################;GMT+7;Tian;Urgent Maintenance;Urgent Maintenance;"#20250000017 | ABH (HSP) | URGENT MAINTENANCE | Link NEU<>CYBER CID: I-0122-008-01 | Aktifitas : CO di jalur 6°14'3.65""S 106°49'39.42""E | Kamis, 09 Januari 2025 00:01 – Selesai | Link sudah kembali up periode 2025-01-10 04:31:49 GMT+7 dan stabil selama 4 jam | FU final progress ke HSP untuk close ticket | CLOSED";Email;Email;No;Interupption;;;;;
18;DCC;ABH;No SO;No SO;Interupption;#20250000018;;Closed;08/01/2025 9:29;08/01/2025 9:29;00:00:00;GMT+7;Syahrul;Done;Done;#20250000018 | DCC ( ABH) | Interupption | DCC report bahwa mengalami signifikan increase CRC di port perangkat, menyebabkan error port, ketatkan B09 SmartOptic port C30 dan A14 DCC port 100GE1/0/4  | Minta dcc prepare material, lalu request RHS ke ABH | CLOSED;Email;Email;No;;;;;;
19;DCC;ABH;L1 NEU-CYB | No Service Order;;Maintenance;#20250000019;;Closed;09/01/2025 0:01;09/01/2025 0:07;00:06:00;GMT+7;Syahrul;Fiber Optic Cutover at 6°14'3.65”S, 106°49'39.42”E for transferring aerial cables to underground cables.;Fiber Optic Cutover at 6°14'3.65”S, 106°49'39.42”E for transferring aerial cables to underground cables.;#20250000019 | DCC ( ABH-HSP ) | Urgent Maintenance | L1 NEU-CYB | Aktivitas pemindahan kabel udara ke kabel bawah | sudah diinformasikan ke DCC | Koordinasi dengan HSP untuk reschedulenya | Kamis, 09 Januari 2025 00:01 – Selesai | Link sudah kembali up periode 2025-01-10 04:31:49 GMT+7 dan stabil selama 4 jam | FU final progress ke HSP untuk close ticket | CLOSED;Email;WhatsApp;No;;;;;;
20;Aofei;ABH;"VLAN1891  IdEX-Transport  
VLAN1893  IdEX-Transport
";;Maintenance;#20250000020;;Closed;09/01/2025 0:01;09/01/2025 0:07;00:06:00;GMT+7;Syahrul;Fiber Optic Cutover at 6°14'3.65”S, 106°49'39.42”E for transferring aerial cables to underground cables.;Fiber Optic Cutover at 6°14'3.65”S, 106°49'39.42”E for transferring aerial cables to underground cables.;#20250000020 | Aofei (ABH-HSP) | Urgent Maintenance | VLAN1891, VLAN1893 | No Downtime dikarenakan backup by 1892 dan 1894 | Relate issue dengan #20250000017 | sudah diinformasikan | Koordinasi dengan HSP untuk reschedulenya | Link sudah kembali up periode 2025-01-10 04:31:49 GMT+7 dan stabil selama 4 jam | FU final progress ke HSP untuk close ticket | CLOSED;Email;WhatsApp;No;Power Low;;GMT+6+30;Giovanni;;
21;3GO;ABH;;;Request Loa;#20250000021;;Closed;08/01/2025 13:30;;;GMT+7;Syahrul;Done;Done; #20250000021 | 3GO (ABH) | Request Loa untuk PT Threego technology Indonesia untuk melakukan 4*XC ke rack B09 MDC | minta 3go untuk kontak sales baru bisa dibikin LoA ;WhatsApp;;No;Intermittent;;;;;
22;3GO;ABH-Linknet;;;Req. Allow & Adv. Prefix;#20250000022;;Closed;;;;GMT+7;Syahrul;;;;Email;Email;No;Network Freeze;;;;;
23;3GO;Smartfren;;;Req. Allow & Adv. Prefix;#20250000023;;Closed;;;;GMT+7;Syahrul;;;;Email;Email;No;Req. Adjust route;;;;;
24;3GO;Biznet;;;Req. Allow & Adv. Prefix;#20250000024;;Closed;;;;GMT+7;Syahrul;;;;Email;Email;No;BGP Down;;;;;
25;ISPL;ABH-Lighstroom;202400082-A;LL CYB <> PDG;Link Down;#20250000025;#345;Closed;08/01/2025 8:30;08/01/2025 11:40;03:10:00;GMT+7;Haikal;"There is a double FO cut on the path on, 
Path 1 = NDC-DCI 
Path 2 = IDK-DCI  
which causes ASON to search for another path. ";ASON automatically found 3rd route. ;#20250000025 | ISPL (ABH-Lighstroom) | Link Down | 202400082-A | LL CYB <> PDG | ISPL report bahwa link PDG <> CYB Line A down | Berdasarkan pengecekan dari Lightstroom bahwa adanya FO cut yang menyebabkan link sempat bermasalah dan ASON sempat delay karena mecari rute terbaiknyaa | Update dari LS bahwa link sementara di rerouted ke Backup link untuk perbaikan mainlinknya | Sudah disampaikan ke ISPL | Update dari LS bahwa mainlink sudah selesai di perbaiki | FU RFO dan RCA ke LS | RFO avalibale | Sudah di confirm ke internal dan confirm untuk close ticket | CLOSED;Email;Email;yes;Prefix Leaking;;;;;
26;CTID-SANY;TIS;202400066;16059007;Link Down;#20250000026;"712025000594
712025000655";Closed;08/01/2025 19:30;09/01/2025 11:35;16:05:00;GMT+7;Tian;" 712025000594 - Segment Topogaro (High bending di JC)
712025000655 - Segment Topogaro (core di EJ patah)
"; Splicing FO;#20250000026 | CTID-SANY (TIS) | 16059007 | Link Down | Dari monitoring terlihat detect alarm periode 08/01/2025 19.30 WIB | Sudah di open ticket ke TIS | Update dari TIS bahwa adanya FO Cut site Bahodopi | FU ke TIS untuk progressnya | Alarm cleared periode 09/01/2025 11.35.00 WIB | FU RFO ke TIS | RFO available | CLOSED;WhatsApp;WhatsApp;yes;;;;;;
