No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
1;DCCHW;ABH;202500080-idEX-hybrid;;Destiantion Unreachable;#20250000688;;Closed;01/07/2025 18:49;02/07/2025 0:00;05:11:00;GMT+7;Bayu;There are no issues in the ABH or upstream segments.;Checking circuit log and monitoring;#20250000688 | DCCHW (ABH) | Destiantion Unreachable | 202500080-idEX-hybrid | DCC report mengalami interrupt ke beberapa IP under AS4761 (IOH) list IP provided | Berdasarkan dari hasil visualisasi traceroute berhenti pada hop 3 yang mana PtP antara ABH <> DCCHWNT | Berdasarkan pengecekan lebih lanjut pada network ABH pada IP yang di mentioned tidak ada masalah, hasil ping reply dan traceroute reachable ke arah IP destinations, dan ABH juga sudah advertised IP tersebut ke arah DCC | Pengecekan sudah disampaikan | Confirm ke DCC untuk close ticket | Sudah allow untuk close ticket | CLOSED;Email;Email;yes;;;;;;
2;Aofei;ABH;"202500007
RR2-RD2/180124 RBN-CN";;Link Down;#20250000689;;Open;02/07/2025 1:23;02/07/2025 1:30;00:07:00;GMT+7;Haikal;;;;;;;Traffic Drop;Closed;GMT+7;Farhan;WhatsApp;No
3;Wangsu;ISPL;IDC3D-INTL;;Maintenance;#20250000690;#2025-0070008;Open;09/07/2025 0:00;09/07/2025 5:00;;GMT+7;Tian;Migration PE POP Cyber;Migration PE POP Cyber;Downtime : Up to 2 Hours;Email;Email;No;Req. Allow & Adv. Prefix;Re-Open;GMT+2;Fatoni;Telegram;
4;OWS;ISPL;AB22025 - idEX-Hybrid;;Maintenance;#20250000691;#2025-0070008;Open;09/07/2025 0:00;09/07/2025 5:00;;GMT+7;Tian;Migration PE POP Cyber;Migration PE POP Cyber;Downtime : Up to 2 Hours;Email;Email;No;Packet Loss;Cancelled;;Syahrul;WeChat;
5;Baishan;ISPL;202400150 | VLAN795 - IdEX-int-regular;;Maintenance;#20250000692;#2025-0070008;Open;09/07/2025 0:00;09/07/2025 5:00;;GMT+7;Tian;Migration PE POP Cyber;Migration PE POP Cyber;Downtime : Up to 2 Hours;Email;Email;No;Request Permit Access;Rescheduled;;Tian;;
6;Aofei;ISPL;202500007 | RR2-RD2/180124 RBN-CN;;Maintenance;#20250000693;#2025-0070008;Open;09/07/2025 0:00;09/07/2025 5:00;;GMT+7;Tian;Migration PE POP Cyber;Migration PE POP Cyber;Downtime : Up to 2 Hours;Email;Email;No;;;;;;
7;Aofei;ISPL;202500020 | Indigo - idEX-transport;;Maintenance;#20250000694;#2025-0070008;Open;09/07/2025 0:00;09/07/2025 5:00;;GMT+7;Tian;Migration PE POP Cyber;Migration PE POP Cyber;Downtime : Up to 2 Hours;Email;Email;No;Maintenance;;GMT/UTC;;;
8;DCC-Huawei;ISPL;202500080 - idEX-Hybrid;;Maintenance;#20250000695;#2025-0070008;Open;09/07/2025 0:00;09/07/2025 5:00;;GMT+7;Tian;Migration PE POP Cyber;Migration PE POP Cyber;Downtime : Up to 2 Hours;Email;Email;No;Flapping;;GMT+4;Damar;;
9;AOFEI;ABH;"VLAN111 (Hybrid)
VLAN112 (Hybrid)";;Maintenance;#20250000696;;Open;11/07/2025 15:00;11/07/2025 19:00;;GMT+7;Tian;Preventive maintenance to upgrade the OS version of the Core Switch at Cyber1 in order to resolve a known LACP initiation bug present in the current software version (ver.22.2R3-S2.8 to ver.23.4R2-Sx).;Preventive maintenance to upgrade the OS version of the Core Switch at Cyber1 in order to resolve a known LACP initiation bug present in the current software version (ver.22.2R3-S2.8 to ver.23.4R2-Sx).;Route lost to domestic destination;Email;Email;No;Flap & Down;;GMT+5;Dani;;
10;DCC;ABH;"Wangsu Neu (202300045)
Huawei (202500080/Non Telkom+International-Line2)";;Maintenance;#20250000697;;Open;11/07/2025 15:00;11/07/2025 19:00;;GMT+7;Tian;Preventive maintenance to upgrade the OS version of the Core Switch at Cyber1 in order to resolve a known LACP initiation bug present in the current software version (ver.22.2R3-S2.8 to ver.23.4R2-Sx).;Preventive maintenance to upgrade the OS version of the Core Switch at Cyber1 in order to resolve a known LACP initiation bug present in the current software version (ver.22.2R3-S2.8 to ver.23.4R2-Sx).;Route lost to domestic destination;Email;Email;No;Link Error;;GMT+8;Haikal;;
