No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
1;Aofei;ABH;"202500007
RR2-RD2/180124 RBN-CN";;Packet Loss;#20250000560;;Closed;01/06/2025 10:14;;;GMT+8;Bayu;No issue segment ABH;Check circuit and montoring;;Email;WeChat;yes;;;;;;
2;ABH;MDC;;Rack A14;Request Permit Access;#20250000561;;Open;02/06/2025 13:00:00;08/06/2025 23:59:00;10:59:00;GMT+7;Luthfi;;;Request Done;Email;Email;No;;;;;;
3;ABH;MDC;Req Replace UPS;;Request Permit Access;#20250000562;;Open;;;;;;;;;;;;;;;;;
4;Huawei;ABH;202500080;;Maintenance;#20250000563;;Open;16/06/2025 10:00;16/06/2025 13:00:00;00:00:00;GMT+7;Tian;Phase Two – Huawei Link Migration to MX204 at Cyber Site;Phase Two – Huawei Link Migration to MX204 at Cyber Site;Downtime 120 Minutes;Email;Email;No;;;;;;
5;ABH;Linknet;Peer 202.73.98.150 & 2405:100:9::29;;BGP Down;#20250000564;;Open;03/06/2025 0:24:39;;;;Tian;;;;;;;;;;;;
6;3GO;ABH;202500113;;Power Degrade;#20250000565;;Closed;03/06/2025 10:02:00;03/06/2025 22:25:00;12:23:00;GMT+7;Farhan;"A power degradation occurred in the interconnection between 
Rack 56 and Rack 51 at neuCentrIX Karet, Jakarta. 
Replaced the cross-connect cable with a new one.";"The issue has been permanently resolved, and we will closely 
monitor.";#20250000565 | 3GO (ABH) | Power Degrade | 202500113 | 3GO report bahwa mereka detect loss 4db di core A XC FO15042025 atau dengan Service SO202500113 dari R56 to R51 | saat ini sudah di open tiket dan sedang ditanyakan status power saat ini beserta expetasi power yang di inginkan 3GO | FU konfirmasi dari 3GO | informasi dari 3GO bahwa kedua TX stabil dan normal dan mereka sedang request ke Neu DC untuk provide standart dB loss untuk referensi mereka dan optimize dB loss ke 3GO dengan target 2dB | Paralel sudah ditanyakan RX di kedua sisi untuk expetasi mereka untuk compare dengan capture yang mereka bagikan dan juga Koord dgn internal untuk arrange visit FE ke Neu untuk Support Tshoot 3GO | Proses optimasi suda selesai dilakukan | Sudah disampaikan ke 3GO | Monit dan CLOSED;Email;Email;yes;;;;;;
7;3GO;ABH;202400128;;Packet Loss;#20250000566;;Closed;02/06/2025 22:00;;;GMT+7;Farhan;Issue occurred due to any maintenance Activity ;Returned normal after maintenance has been completed;#20250000566 | 3GO (ABH) | Packet Loss | 202400128 | 3GO report mengalami packet loss kemarin pada 02/06/2025 22:00 GMT+7 | Suspect awal bahwa PL terjadi karena maintenance linknet semalam | Mintakan hasil pengecekan LN sebagai comparasi | FU ke LN untuk make sure issue | CLOSED;Email;Email;yes;;;;;;
8;OWS-ABH;SF;"AS138077
36.50.46.0/24
36.50.47.0/24
160.250.198.0/24
160.250.199.0/24";;Req. Allow & Adv. Prefix;#20250000572 | OWS-ABH (XL) | OWS meminta prefix under AS138077 | Sudah di req ke XL | FU XL | Done;;Closed;03/06/2025;;;GMT+7;Haikal;;Request Done;#20250000567 | OWS-ABH (SF) | OWS meminta prefix under AS138077 | Sudah di req ke SF | FU SF | Done;Email;Email;No;;;;;;
9;OWS-ABH;Linknet;"AS138077
36.50.46.0/24
36.50.47.0/24
160.250.198.0/24
160.250.199.0/24";;Req. Allow & Adv. Prefix;#20250000568;;Closed;03/06/2025;;;GMT+7;Haikal;;Request Done;#20250000568 | OWS-ABH (Linknet) OWS meminta prefix under AS138077 | Sudah di req ke LN | FU LN | Done;Email;Email;No;Request Permit Access;Rescheduled;GMT+5;Tian;;
10;OWS-ABH;Biznet;"AS138077
36.50.46.0/24
36.50.47.0/24
160.250.198.0/24
160.250.199.0/24";;Req. Allow & Adv. Prefix;#20250000569;;Closed;03/06/2025;;;GMT+7;Haikal;;Request Done;#20250000569 | OWS-ABH (Biznet) | OWS meminta prefix under AS138077 | Sudah di req ke Biznet | Done;Email;Email;No;;;;;;
