No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
1;Herza;ABH;202500002 - idEX Transport;;;#20250000455;;Closed;01/05/2025 13:00;03/05/2025 0:00;;GMT+7;Haikal;VLAN ID 896–4094 couldn’t pass through the local  loop QinQ link due to two VLAN ID lists configured in the QinQ. The system only recognized the first list (VLAN ID 2-894). This configuration was made after a request from the Herza Team to pass VLAN 895 through the QinQ link during a CAC trial service.;"1.	Herza Team moved traffic to VLAN ID range 500 — result: Normal.
2.	ABHINAWA Team asked Herza to test using VLAN 894 and 896 — result: VLAN 894 passed, VLAN 896 failed
";#20250000455 | Herza (ABH) | 202500002 - idEX Transport | Herza report vlan1100 tidak detect | dari pengecekan di perangkat NEU tidak detect mac address sisi APJII punya Herza  | dari ABH sudah allow vlan 2-4094 dikedua sisi Neu dan Cyb | FU konfirm dari Herza | Saat ini info dari Herza diganti menggunakan vlan under 1000 dan sudah up kembali | Monitoring dahulu | Adanya missconfig yang mentrigger issue ini terjadi | Akan dilakukan MA malam ini jam 00.00 | Optimize sudah di lakukan malam ini oleh internal dan sudah di konfirmasi ke Herza | Update dari Herza sudah kembali normal | Prepare RFO ke internal | CLOSED;WhatsApp;WhatsApp;yes;;;;;;
2;ABH;Equarta;BB NEU<>EDGE;;Link Down;#20250000456;;Closed;01/05/2025 15:48:00;01/05/2025 18:01:00;02:13:00;GMT+7;Tian;Fo cut km 4,6 dari tomang;Replicing Core;"#20250000456 | ABH (Equarta) | LL BB NEU<>EDG | sempat terpantau down sejak 15.48 sampai 18.01 GMT+7 | Info dari Equarta terdapat FO Cut pada titik 6°12'02.5""S 106°48'54.5""E | mintakan no tiket dan RFOnya | RFO Available";Email;Email;yes;;;;;;
3;Seabank;ABH;;;Maintenance;#20250000457;;Open;07/05/2025 10:00:00;07/05/2025 13:00:00;03:00:00;GMT+7;Tian;;;;;;;;;;;;
4;CTG-ALI;ABH-IIX;;;Link Down;#20250000458;;Closed;02/05/2025 0:30;02/05/2025 12:20:00;11:50:00;GMT+7;Haikal;;;;Email;Email;No;;;;;;
5;IOH BALI;Telkom;202500067;"1773283635
1773218210";Link Down;#20250000459;;Closed;02/05/2025 18:10;02/05/2025 21:00;02:50:00;GMT+7;Tian;"ONT port went down due to interface interruption after a Dying 
Gasp. Suspecting any bug in the ONT modem.";Shut no shut the port after dying gasp;#20250000459 | IOH Bali (Telkom) | 202500067 | Link Down | IOH report link down pukul 20:46 | Hasil pengecekan dari Telkom sebelumnya sempat Dying Gasp dan up kembali setelah di shut no shut | FU RFO ke DWS | Sudah disampaikan Intial RFOnya | Timeline pergantian ONT sudah tersedia | FU untuk Timeline terbarunya | infonya kan dibantu permitnya oleh user (Pak Gede) no kontaknya sudah dishare ke DWS | FU ke DWS untuk pastikan timnya maksimalkan karena hanya dapat 1 hari izinnya | Informasi dari DWS bahwa leader area bandara sudah memberikan permit mingguan dan akan dilakukan pengecekan ke site di ESOK HARI (23 Mei 2025) | Pergantian sudah dilakukan | Monitoring dan prepare IR | FU konfirmasi dari IOH | FU untuk Closed tiket | Allow close | IR available | CLOSED;Email;Email;yes;;;;;;
6;DCC;ABH;RHS Request for supporting installation SO WDM at DCI JK1 and NEU R36 and MDC B07 A14;RHS Request for supporting installation SO WDM at DCI JK1 and NEU R36 and MDC B07 A14;Req RHS;#20250000460;;;;;;;Tian;;;;;;;;;;;;
7;ABH;Telkom;1773283635 & 1773218210;;Configuration Options;#20250000461;;Open;;;;GMT+7;Tian;;;;;;;;;;;;
8;Wangsu-IEPL;ABH - DCC;202400109;ABH202406110001;Intermittent;#20250000462;DCC202505041921;Closed;04/05/2025 18:14:00;04/05/2025 18:42:00;00:28:00;GMT+8;Bayu;"Issue was caused by a fiber optic (FO) cable 
being cut in main link and circuit auto reroute to 
backup link, which resulted in a intermittent.";"Resplice fiber optic by vendor and the link has 
been restored to normal.";#20250000462 | Wangsu-IEPL (ABH-DCC) | Intermittent | Wangsu report mengalami Intermittent pada rentang 04/05/2025 18:14 - 18:42 GMT+8 dan sudah di report ke DCC untuk dilakukan pengecekan | dari pengecekan DCC detect loss pada salah satu kabel optik bawah laut SIN - JKT dan jalur telah di alihkan ke jalur lain | sudah di sampaikan ke Wangsu | FU perbaikan primary line ke DCC | Dari pengecekan lebih lanjut DCC issue di sebabkan oleh FO cut karena kabel sudah rapuh yang menyebabkan paket loss dan paket loss recovered setelah di lakukan penyambungan FO, Service running kembali di primary path dan sudah di solved secara permanent | Sudah disampaikan ke Wangsu | FU RFO dan palnning improvement ke DCC | Preventif sudah didapat | Validasi IR ke internal untuk close ticket | CLOSED;Email;Email;yes;;;;;;
9;Infobip;ABH-DCC; AB23039;SDPP202308040002;Traffic Drop;#20250000463;;Closed;04/05/2025 18:22;;;GMT+7;Luthfi;the problem was caused by a main trunk reset, because the fiber optic (FO) cable was cut;re-connecting the FO cable;;Email;Email;yes;Request Permit Access;Rescheduled;GMT+5;Tian;;
10;CTG-ALI;ABH;202300003;;Traffic Drop;#20250000464;;Closed;05/04/2025 8:51:00;05/04/2025 12:10:00;03:19:00;GMT+7;Haikal;;;;Email;Email;yes;;;;;;
